id,difficulty,width,height,mines,status,touches,guesses,revealed_count,total_safe_cells,score,method
263,beginner,9,9,10,won,19,0,71,71,19,subset
264,beginner,9,9,10,won,21,1,71,71,21,subset
265,beginner,9,9,10,won,23,1,71,71,23,subset
266,beginner,9,9,10,won,18,0,71,71,18,subset
267,beginner,9,9,10,won,12,0,71,71,12,subset
268,beginner,9,9,10,won,20,0,71,71,20,subset
269,beginner,9,9,10,won,12,0,71,71,12,subset
270,beginner,9,9,10,won,22,0,71,71,22,subset
271,beginner,9,9,10,won,17,0,71,71,17,subset
272,beginner,9,9,10,lost,24,1,66,71,30,subset
273,beginner,9,9,10,won,16,0,71,71,16,subset
274,beginner,9,9,10,won,7,0,71,71,7,subset
275,beginner,9,9,10,won,26,0,71,71,26,subset
276,beginner,9,9,10,won,15,0,71,71,15,subset
277,beginner,9,9,10,won,20,0,71,71,20,subset
278,beginner,9,9,10,won,23,0,71,71,23,subset
279,beginner,9,9,10,won,23,0,71,71,23,subset
280,beginner,9,9,10,won,13,1,71,71,13,subset
281,beginner,9,9,10,won,12,0,71,71,12,subset
282,beginner,9,9,10,won,12,0,71,71,12,subset
283,beginner,9,9,10,won,18,0,71,71,18,subset
284,beginner,9,9,10,won,9,0,71,71,9,subset
285,beginner,9,9,10,won,20,0,71,71,20,subset
286,beginner,9,9,10,won,18,0,71,71,18,subset
287,beginner,9,9,10,won,12,0,71,71,12,subset
288,beginner,9,9,10,won,13,1,71,71,13,subset
289,beginner,9,9,10,won,19,0,71,71,19,subset
290,beginner,9,9,10,won,18,0,71,71,18,subset
291,beginner,9,9,10,won,14,0,71,71,14,subset
292,beginner,9,9,10,won,24,1,71,71,24,subset
293,beginner,9,9,10,won,13,0,71,71,13,subset
294,beginner,9,9,10,won,17,0,71,71,17,subset
295,beginner,9,9,10,won,7,0,71,71,7,subset
296,beginner,9,9,10,won,21,0,71,71,21,subset
297,beginner,9,9,10,won,14,0,71,71,14,subset
298,beginner,9,9,10,won,15,0,71,71,15,subset
299,beginner,9,9,10,won,21,0,71,71,21,subset
300,beginner,9,9,10,won,9,0,71,71,9,subset
301,intermediate,16,16,40,won,78,0,216,216,78,subset
302,intermediate,16,16,40,won,98,0,216,216,98,subset
303,intermediate,16,16,40,lost,59,1,215,216,61,subset
304,intermediate,16,16,40,lost,64,1,210,216,71,subset
305,intermediate,16,16,40,won,82,0,216,216,82,subset
306,intermediate,16,16,40,lost,4,3,15,216,206,subset
307,intermediate,16,16,40,won,74,1,216,216,74,subset
308,intermediate,16,16,40,won,82,1,216,216,82,subset
309,intermediate,16,16,40,lost,17,15,42,216,192,subset
310,intermediate,16,16,40,lost,3,2,17,216,203,subset
311,intermediate,16,16,40,lost,74,1,213,216,78,subset
312,intermediate,16,16,40,won,73,0,216,216,73,subset
313,intermediate,16,16,40,won,112,1,216,216,112,subset
314,intermediate,16,16,40,won,75,0,216,216,75,subset
315,intermediate,16,16,40,won,69,3,216,216,69,subset
316,intermediate,16,16,40,won,90,0,216,216,90,subset
317,intermediate,16,16,40,lost,99,1,216,216,100,subset
318,intermediate,16,16,40,lost,32,1,106,216,143,subset
319,intermediate,16,16,40,won,81,0,216,216,81,subset
320,intermediate,16,16,40,won,105,9,216,216,105,subset
321,intermediate,16,16,40,won,87,0,216,216,87,subset
322,intermediate,16,16,40,lost,61,1,215,216,63,subset
323,intermediate,16,16,40,won,78,0,216,216,78,subset
324,intermediate,16,16,40,lost,3,1,24,216,196,subset
325,intermediate,16,16,40,won,83,1,216,216,83,subset
326,intermediate,16,16,40,won,69,0,216,216,69,subset
327,intermediate,16,16,40,won,73,0,216,216,73,subset
328,intermediate,16,16,40,won,89,0,216,216,89,subset
329,intermediate,16,16,40,won,83,0,216,216,83,subset
330,intermediate,16,16,40,won,68,1,216,216,68,subset
331,intermediate,16,16,40,won,93,1,216,216,93,subset
332,intermediate,16,16,40,won,83,0,216,216,83,subset
333,intermediate,16,16,40,won,90,0,216,216,90,subset
334,intermediate,16,16,40,won,116,0,216,216,116,subset
335,intermediate,16,16,40,won,64,1,216,216,64,subset
336,intermediate,16,16,40,won,82,0,216,216,82,subset
337,intermediate,16,16,40,won,83,3,216,216,83,subset
338,intermediate,16,16,40,won,74,0,216,216,74,subset
339,intermediate,16,16,40,won,97,1,216,216,97,subset
340,intermediate,16,16,40,won,74,0,216,216,74,subset
341,intermediate,16,16,40,won,73,0,216,216,73,subset
342,intermediate,16,16,40,won,67,2,216,216,67,subset
343,intermediate,16,16,40,won,67,4,216,216,67,subset
344,intermediate,16,16,40,won,84,0,216,216,84,subset
345,intermediate,16,16,40,won,87,0,216,216,87,subset
346,intermediate,16,16,40,won,73,2,216,216,73,subset
347,intermediate,16,16,40,won,67,1,216,216,67,subset
348,intermediate,16,16,40,won,55,0,216,216,55,subset
349,intermediate,16,16,40,won,67,1,216,216,67,subset
350,intermediate,16,16,40,won,70,2,216,216,70,subset
351,intermediate,16,16,40,won,79,1,216,216,79,subset
352,intermediate,16,16,40,won,71,0,216,216,71,subset
353,intermediate,16,16,40,won,79,0,216,216,79,subset
354,intermediate,16,16,40,won,70,3,216,216,70,subset
355,intermediate,16,16,40,won,77,0,216,216,77,subset
356,intermediate,16,16,40,won,61,1,216,216,61,subset
357,intermediate,16,16,40,lost,77,1,215,216,79,subset
358,intermediate,16,16,40,won,87,2,216,216,87,subset
359,intermediate,16,16,40,won,88,0,216,216,88,subset
360,intermediate,16,16,40,won,91,0,216,216,91,subset
361,intermediate,16,16,40,lost,84,1,188,216,113,subset
362,intermediate,16,16,40,won,67,1,216,216,67,subset
363,intermediate,16,16,40,lost,73,1,215,216,75,subset
364,intermediate,16,16,40,lost,2,1,16,216,203,subset
365,intermediate,16,16,40,won,82,1,216,216,82,subset
366,intermediate,16,16,40,lost,89,2,216,216,90,subset
367,intermediate,16,16,40,lost,77,4,202,216,92,subset
368,intermediate,16,16,40,won,72,0,216,216,72,subset
369,intermediate,16,16,40,lost,69,1,202,216,84,subset
370,intermediate,16,16,40,lost,86,1,215,216,88,subset
371,intermediate,16,16,40,won,87,0,216,216,87,subset
372,intermediate,16,16,40,won,86,0,216,216,86,subset
373,intermediate,16,16,40,won,84,2,216,216,84,subset
374,intermediate,16,16,40,won,79,1,216,216,79,subset
375,intermediate,16,16,40,won,109,0,216,216,109,subset
376,intermediate,16,16,40,won,65,0,216,216,65,subset
377,intermediate,16,16,40,won,68,0,216,216,68,subset
378,intermediate,16,16,40,won,72,0,216,216,72,subset
379,intermediate,16,16,40,won,81,0,216,216,81,subset
380,intermediate,16,16,40,won,95,0,216,216,95,subset
381,intermediate,16,16,40,lost,14,5,36,216,195,subset
382,intermediate,16,16,40,won,65,0,216,216,65,subset
383,intermediate,16,16,40,won,81,1,216,216,81,subset
384,intermediate,16,16,40,won,95,0,216,216,95,subset
385,intermediate,16,16,40,lost,42,1,215,216,44,subset
386,intermediate,16,16,40,lost,71,1,216,216,72,subset
387,intermediate,16,16,40,lost,73,1,208,216,82,subset
388,intermediate,16,16,40,won,108,4,216,216,108,subset
389,intermediate,16,16,40,won,77,0,216,216,77,subset
390,intermediate,16,16,40,lost,81,2,214,216,84,subset
391,intermediate,16,16,40,lost,78,2,215,216,80,subset
392,intermediate,16,16,40,won,77,0,216,216,77,subset
393,intermediate,16,16,40,won,87,0,216,216,87,subset
394,intermediate,16,16,40,won,65,0,216,216,65,subset
395,intermediate,16,16,40,won,68,0,216,216,68,subset
396,intermediate,16,16,40,lost,61,1,171,216,107,subset
397,intermediate,16,16,40,won,85,0,216,216,85,subset
398,intermediate,16,16,40,won,72,0,216,216,72,subset
399,intermediate,16,16,40,won,93,1,216,216,93,subset
400,intermediate,16,16,40,won,96,0,216,216,96,subset
401,intermediate,16,16,40,won,92,0,216,216,92,subset
402,intermediate,16,16,40,won,57,0,216,216,57,subset
403,intermediate,16,16,40,won,65,1,216,216,65,subset
404,intermediate,16,16,40,won,69,0,216,216,69,subset
405,intermediate,16,16,40,won,90,0,216,216,90,subset
406,intermediate,16,16,40,won,74,0,216,216,74,subset
407,intermediate,16,16,40,lost,79,1,216,216,80,subset
408,intermediate,16,16,40,won,81,1,216,216,81,subset
409,intermediate,16,16,40,won,100,1,216,216,100,subset
410,intermediate,16,16,40,won,91,0,216,216,91,subset
411,intermediate,16,16,40,won,55,0,216,216,55,subset
412,intermediate,16,16,40,lost,79,5,216,216,80,subset
413,intermediate,16,16,40,won,78,1,216,216,78,subset
414,intermediate,16,16,40,won,74,2,216,216,74,subset
415,intermediate,16,16,40,won,74,0,216,216,74,subset
416,intermediate,16,16,40,lost,2,1,13,216,206,subset
417,intermediate,16,16,40,lost,4,3,18,216,203,subset
418,intermediate,16,16,40,won,99,0,216,216,99,subset
419,intermediate,16,16,40,won,94,0,216,216,94,subset
420,intermediate,16,16,40,won,67,2,216,216,67,subset
421,intermediate,16,16,40,lost,74,2,206,216,85,subset
422,intermediate,16,16,40,won,84,0,216,216,84,subset
423,intermediate,16,16,40,won,112,0,216,216,112,subset
424,intermediate,16,16,40,lost,79,2,203,216,93,subset
425,intermediate,16,16,40,lost,86,1,216,216,87,subset
426,intermediate,16,16,40,won,71,0,216,216,71,subset
427,intermediate,16,16,40,lost,72,1,215,216,74,subset
428,intermediate,16,16,40,won,75,5,216,216,75,subset
429,intermediate,16,16,40,won,80,0,216,216,80,subset
430,intermediate,16,16,40,won,86,0,216,216,86,subset
431,intermediate,16,16,40,won,73,0,216,216,73,subset
432,intermediate,16,16,40,won,77,0,216,216,77,subset
433,intermediate,16,16,40,won,83,0,216,216,83,subset
434,intermediate,16,16,40,won,87,0,216,216,87,subset
435,intermediate,16,16,40,won,85,0,216,216,85,subset
436,intermediate,16,16,40,won,74,0,216,216,74,subset
437,intermediate,16,16,40,won,70,0,216,216,70,subset
438,intermediate,16,16,40,won,92,0,216,216,92,subset
439,intermediate,16,16,40,won,92,0,216,216,92,subset
440,intermediate,16,16,40,lost,81,1,209,216,89,subset
441,intermediate,16,16,40,won,97,0,216,216,97,subset
442,intermediate,16,16,40,lost,74,1,182,216,109,subset
443,intermediate,16,16,40,lost,80,2,216,216,81,subset
444,intermediate,16,16,40,won,83,0,216,216,83,subset
445,intermediate,16,16,40,won,72,2,216,216,72,subset
446,intermediate,16,16,40,lost,108,2,216,216,109,subset
447,intermediate,16,16,40,won,82,0,216,216,82,subset
448,intermediate,16,16,40,lost,84,2,215,216,86,subset
